추정가격,예정가격,입찰계약방법,낙찰율,낙찰금액
1735040000,1905805300,제한경쟁,87.549,1668513600
180924334,198133925,제한경쟁,87.75,173862900
244615455,267028700,제한경쟁,88.256,235669860
366765455,402946825,제한경쟁,88.069,354873700
240122727,266862250,제한경쟁,88.104,235117389
320880000,353597225,제한경쟁,88.264,312101750
2480727273,2747185325,제한경쟁,87.339,2399371500
30840000,33745000,제한경쟁,88.491,29861471
161290000,175934050,제한경쟁,88.463,155637470
314070000,344575375,제한경쟁,88.486,304903900
311090000,344398525,제한경쟁,88.619,305203790
177442000,193863850,제한경쟁,88.537,171641420
755502728,828615975,제한경쟁,88.321,731842890
413981819,455398275,제한경쟁,88.363,402407216
589960000,642594650,제한경쟁,88.498,568685600
347995455,386854575,제한경쟁,88.457,342201440
310636363,342088725,제한경쟁,88.217,301782960
216038182,238875425,제한경쟁,88.411,211193990
208454546,227849150,제한경쟁,88.531,201718000
227272728,250745000,제한경쟁,88.461,221813170
200389091,221562725,제한경쟁,88.506,196097960
231495455,254610050,제한경쟁,88.578,225530000
166018182,184189225,제한경쟁,88.434,162886000
220363636,242577600,제한경쟁,87.952,213354000
229141819,252350950,제한경쟁,88.225,222637547
270950910,301357325,제한경쟁,88.013,265236300
373899999,407819800,제한경쟁,88.064,359146114
157229713,174086850,제한경쟁,87.886,152998460
263419201,292953475,제한경쟁,88.602,259563780
41511818,45914875,제한경쟁,87.75,40290430
373722109,410566125,제한경쟁,87.621,359742950
295940000,328760100,제한경쟁,88.541,291089920
76864546,85129800,제한경쟁,88.393,75248930
272690000,295880375,제한경쟁,88.306,261282300
142641819,157059050,제한경쟁,88.421,138874000
727905455,795549575,제한경쟁,88.33,702716000
238742728,267275200,제한경쟁,88.403,236279680
82590000,90996000,제한경쟁,88.275,80327350
116007304,121354275,제한경쟁,88.4,107278200
325083637,353946400,제한경쟁,88.221,312257085
111620036,122564750,제한경쟁,88.101,107981500
225140000,249020500,제한경쟁,88.532,220463107
1744390000,1890675025,제한경쟁,87.511,1654567264
234200000,257573675,제한경쟁,88.495,227942200
158058182,174233950,제한경쟁,88.542,154271170
608763637,657830950,제한경쟁,88.397,581505862
162579091,176835400,제한경쟁,87.75,155173843
109350000,119757600,제한경쟁,87.997,105383500
3799360000,4161210150,제한경쟁,87.553,3643266000
427527273,468803400,제한경쟁,88.179,413388880
82090909,90545650,제한경쟁,88.357,80004000
102420000,112589075,제한경쟁,87.952,99025000
61181818,67426425,제한경쟁,88.527,59690977
201545454,222650050,제한경쟁,88.795,197702200
237272728,258515325,제한경쟁,88.322,228327000
586772728,655289950,제한경쟁,88.374,579109580
429909091,466252250,제한경쟁,88.385,412100320
513990000,562833500,제한경쟁,87.558,492810930
74809091,82578250,제한경쟁,88.313,72928000
84131819,91542575,제한경쟁,63.795,58400000
484255000,525209675,제한경쟁,88.61,465392891
423291000,463474700,제한경쟁,88.291,409209990
370740000,406136525,제한경쟁,88.365,358886240
234574546,260005975,제한경쟁,88.093,229048260
699960000,768042700,제한경쟁,88.347,678548694
731663637,802779750,제한경쟁,88.199,708049160
144926364,159994150,제한경쟁,88.413,141456700
255344545,280725975,제한경쟁,88.231,247690070
196181819,213925300,제한경쟁,88.266,188825000
192280909,208357550,제한경쟁,88.536,184472438
247428182,274543025,제한경쟁,88.064,241776000
45618182,50306900,제한경쟁,87.775,44156940
55881819,60734100,제한경쟁,87.755,53297539
2512537273,2777230000,제한경쟁,87.524,2430758000
211534545,232896300,제한경쟁,88.33,205717319
343899091,378325000,제한경쟁,88.416,334503168
178945455,196618600,제한경쟁,87.967,172959800
318090000,351294275,제한경쟁,88.653,311433000
269888246,298126225,제한경쟁,88.175,262875700
129209090,143814650,제한경쟁,88.307,126999730
648571116,714503775,제한경쟁,88.424,631795290
118990000,131362850,제한경쟁,88.113,115748000
152233637,168913500,제한경쟁,88.42,149354000
158252727,174182950,제한경쟁,88.129,153506100
270000000,297905900,제한경쟁,88.28,262992120
4481946900,5020054475,제한경쟁,87.42,4388545000
319870000,349054500,제한경쟁,88.281,308150950
532309090,584497800,제한경쟁,88.521,517409000
119800000,131324750,제한경쟁,88.817,116638800
155477273,172473200,제한경쟁,88.45,152553660
468304545,520234900,제한경쟁,88.311,459429086
167334547,181862000,제한경쟁,88.103,160225950
273090627,303402975,제한경쟁,88.559,268693000
19358864,21332050,제한경쟁,88.153,18804982
203171819,222274950,제한경쟁,88.342,196362200
134720000,146901300,제한경쟁,88.474,129970440
369565455,406961075,제한경쟁,88.286,359292500
312270000,344594525,제한경쟁,87.771,302456350
307245455,340001250,제한경쟁,88.182,299822840
244090910,265880825,제한경쟁,88.23,234589200
104081818,113856050,제한경쟁,88.372,100617642
248727273,269051450,제한경쟁,88.374,237774000
292900000,321326575,제한경쟁,88.915,285707600
31730000,35096600,제한경쟁,87.928,30859914
358320000,398524175,제한경쟁,88.228,351610020
271000000,299981825,제한경쟁,88.066,264183500
280181819,310644100,제한경쟁,88.258,274170902
390730000,431047300,제한경쟁,88.506,381504000
891600000,966450775,제한경쟁,88.432,854655400
269823636,292429650,제한경쟁,88.532,258894000
118181819,130910325,제한경쟁,90.23,118121065
287648182,313068550,제한경쟁,88.279,276375379
306530000,333012925,제한경쟁,88.899,296046000
112370000,124264325,제한경쟁,88.539,110022955
272830000,303089425,제한경쟁,88.509,268264000
276462082,304364525,제한경쟁,88.315,268799850
173879091,191086325,제한경쟁,88.44,168998120
220480000,244237275,제한경쟁,88.444,216014591
109165455,118976400,제한경쟁,88.325,105086960
202271819,219321775,제한경쟁,88.092,193207050
43440000,47431200,제한경쟁,87.745,41618558
644560000,709267750,제한경쟁,88.512,627788540
